sensor_name,value,temp,voltage,has_weapons
TAIL_SENSOR,77.43,32.78,30.98,true
ENGINE_RIGHT,-0.19,78.19,26.23,true
TAIL_SENSOR,79.32,48.37,24.98,true
ENGINE_RIGHT,67.79,-0.65,26.41,true
ENGINE_RIGHT,76.95,7.77,22.06,false
RIGHT_WING,3.16,76.26,31.06,true
NOSE_RADAR,5.46,24.89,22.47,true
RIGHT_WING,26.36,98.03,22.18,true
LEFT_WING,104.97,-3.28,27.51,true
LEFT_WING,110.93,67.20,30.07,true
TAIL_SENSOR,72.96,-9.36,26.57,false
RIGHT_WING,1.27,28.38,27.65,false
RIGHT_WING,97.07,105.21,29.41,false
NOSE_RADAR,113.92,115.07,21.60,true
NOSE_RADAR,37.30,60.00,22.49,true
ENGINE_RIGHT,113.60,-19.08,31.50,true
RIGHT_WING,64.10,127.03,28.98,true
RIGHT_WING,79.62,30.63,20.43,false
TAIL_SENSOR,60.38,-8.91,26.07,true
NOSE_RADAR,24.45,46.18,31.20,true
ENGINE_LEFT,88.43,49.35,21.53,true
RIGHT_WING,35.16,106.16,31.35,false
ENGINE_LEFT,95.65,55.45,31.66,false
LEFT_WING,46.11,113.06,23.32,false
ENGINE_LEFT,108.86,113.56,29.30,true
NOSE_RADAR,13.61,61.28,23.75,true
ENGINE_LEFT,88.16,68.10,29.35,false
RIGHT_WING,19.25,126.15,24.85,false
ENGINE_LEFT,111.09,-2.01,26.02,false
RIGHT_WING,89.10,118.68,28.73,false
ENGINE_RIGHT,49.78,56.84,25.85,true
ENGINE_RIGHT,49.01,120.66,25.09,false
RIGHT_WING,82.27,30.78,26.57,false
ENGINE_RIGHT,91.99,131.55,25.46,false
RIGHT_WING,38.53,36.65,30.89,false
RIGHT_WING,30.22,61.45,31.49,true
ENGINE_LEFT,7.77,131.11,29.54,false
NOSE_RADAR,47.69,3.65,22.85,false
TAIL_SENSOR,26.76,16.75,21.50,false
NOSE_RADAR,107.71,35.13,27.07,true
RIGHT_WING,27.46,117.03,24.01,true
TAIL_SENSOR,80.06,51.14,24.39,true
LEFT_WING,108.17,58.67,23.55,false
ENGINE_LEFT,33.43,90.39,25.41,true
LEFT_WING,50.55,125.23,30.37,false
LEFT_WING,40.83,47.11,29.87,false
LEFT_WING,95.89,81.59,27.60,false
ENGINE_RIGHT,99.17,17.81,28.17,true
LEFT_WING,-9.76,7.57,23.41,true
TAIL_SENSOR,18.80,43.41,27.13,false
ENGINE_RIGHT,110.95,58.78,20.82,true
TAIL_SENSOR,33.90,125.21,29.19,true
NOSE_RADAR,114.41,16.86,30.18,false
ENGINE_RIGHT,16.21,118.77,31.76,true
ENGINE_LEFT,109.80,-14.09,24.26,true
TAIL_SENSOR,38.73,48.08,27.84,true
NOSE_RADAR,76.55,107.39,24.16,false
RIGHT_WING,54.86,51.98,29.67,false
RIGHT_WING,77.16,72.52,25.11,false
NOSE_RADAR,33.91,31.56,26.66,true
LEFT_WING,17.56,133.25,26.48,true
NOSE_RADAR,83.63,43.39,30.58,false
TAIL_SENSOR,11.67,117.25,22.85,false
ENGINE_LEFT,80.40,-14.02,31.58,false
ENGINE_RIGHT,76.04,117.57,26.24,false
ENGINE_LEFT,98.07,-20.95,25.81,true
NOSE_RADAR,20.73,104.83,30.87,true
RIGHT_WING,63.45,-5.71,27.52,true
ENGINE_RIGHT,108.61,18.14,23.87,true
LEFT_WING,23.32,68.39,29.29,true
RIGHT_WING,103.02,116.61,28.75,false
NOSE_RADAR,88.12,37.09,26.65,true
RIGHT_WING,43.69,35.94,25.21,true
TAIL_SENSOR,-5.50,10.36,28.00,false
TAIL_SENSOR,75.15,121.17,26.88,true
RIGHT_WING,70.76,27.32,31.93,true
LEFT_WING,30.50,117.45,25.17,false
TAIL_SENSOR,76.00,18.79,31.35,false
ENGINE_LEFT,83.40,30.79,25.27,false
ENGINE_LEFT,38.51,128.29,29.50,true
RIGHT_WING,51.30,69.89,31.30,false
NOSE_RADAR,37.43,124.36,25.74,false
ENGINE_RIGHT,65.34,72.12,29.30,false
LEFT_WING,75.48,2.54,26.06,false
NOSE_RADAR,50.38,107.25,28.73,true
ENGINE_LEFT,86.67,86.86,30.06,true
RIGHT_WING,42.89,128.96,28.61,true
ENGINE_RIGHT,20.70,13.88,26.08,false
LEFT_WING,89.06,-4.20,25.08,true
NOSE_RADAR,26.98,54.00,20.70,true
RIGHT_WING,24.91,134.51,28.22,true
RIGHT_WING,77.03,-16.12,22.29,false
ENGINE_LEFT,40.15,84.21,26.23,false
ENGINE_LEFT,47.99,86.87,25.68,true
NOSE_RADAR,1.42,1.82,22.83,true
RIGHT_WING,85.51,18.00,27.09,false
NOSE_RADAR,17.90,94.00,29.89,true
ENGINE_LEFT,1.44,26.49,22.21,true
LEFT_WING,117.52,26.61,29.68,false
ENGINE_LEFT,37.66,33.15,23.10,false
